9.8095077,[-0.44279793  0.15350445 -1.25639117],[-1.00396097  0.39765379 -0.64851356]
9.8165756,[-0.44287938  0.15368901 -1.25613999],[-1.00393915  0.39821935 -0.6485886 ]
9.8241007,[-0.44294843  0.15388045 -1.25588155],[-1.00393343  0.39881408 -0.64858091]
9.8306784,[-0.4429771   0.15398291 -1.2557534 ],[-1.0039227   0.39910987 -0.64856255]
9.8385188,[-0.44304568  0.15420252 -1.25548255],[-1.00388789  0.39970633 -0.64848965]
9.8456994,[-0.44310877  0.15446013 -1.25521386],[-1.00384271  0.40032196 -0.64838278]
9.852959,[-0.44315958  0.15472384 -1.254933  ],[-1.00384009  0.40093699 -0.64824444]
9.8597663,[-0.4431878   0.15487099 -1.25478375],[-1.00384557  0.40123099 -0.64816839]
9.8678603,[-0.44323987  0.15515143 -1.25447416],[-1.00387156  0.40181905 -0.64798027]
9.8748962,[-0.44327751  0.15542516 -1.25414479],[-1.00389504  0.40240115 -0.64771879]
9.8821513,[-0.44331163  0.15568084 -1.25380421],[-1.00392568  0.40297177 -0.64739376]
9.8890002,[-0.44333065  0.15579754 -1.25363481],[-1.00395262  0.40324983 -0.64724028]
9.8967768,[-0.44335425  0.15604205 -1.25328636],[-1.00403941  0.40382591 -0.64692563]
9.9041846,[-0.44338781  0.1562831  -1.25292444],[-1.004161    0.40440735 -0.64651507]
9.9120428,[-0.44344544  0.15654822 -1.252563  ],[-1.00431156  0.40496466 -0.64612079]
9.9196552,[-0.44350159  0.15680099 -1.25220788],[-1.00446856  0.40553603 -0.64571124]
9.9265278,[-0.44353575  0.15691473 -1.25202978],[-1.00454736  0.40582404 -0.64548516]
9.9344922,[-0.44359621  0.15715638 -1.25165927],[-1.00471914  0.40636832 -0.64499849]
9.9415492,[-0.44364336  0.15739988 -1.25127816],[-1.0049026   0.40693283 -0.64451981]
9.9487872,[-0.44369566  0.15764013 -1.25089562],[-1.00509953  0.40750128 -0.64403003]
9.9557211,[-0.44372484  0.15775716 -1.25071108],[-1.00521874  0.40780064 -0.6437428 ]
9.9636571,[-0.44377205  0.15799911 -1.25031292],[-1.00542843  0.40834826 -0.64321136]
9.9707004,[-0.44383523  0.1582415  -1.24990523],[-1.00564909  0.40890869 -0.64266217]
9.9779657,[-0.44391897  0.15848915 -1.24949288],[-1.00589025  0.40943483 -0.64212698]
9.9848955,[-0.44396573  0.15860103 -1.24929035],[-1.00600445  0.40968856 -0.64186889]
9.9927543,[-0.44407043  0.15880302 -1.24886072],[-1.00626707  0.41019475 -0.6413238 ]
9.9998757,[-0.44416952  0.15902193 -1.24839115],[-1.00651073  0.41069165 -0.64079642]
10.0071591,[-0.44428223  0.15920109 -1.24794066],[-1.00674856  0.41118738 -0.64028233]
10.014148,[-0.44434738  0.15929566 -1.24771345],[-1.00687492  0.411432   -0.64002424]
10.021964,[-0.44445464  0.15948583 -1.24725449],[-1.00710499  0.41191944 -0.63955605]
