[0.0, 0.09421348571777344]
[-0.15265722274779847, 0.09662628173828125]
[-0.14308900833130167, 0.10138511657714844]
[-0.1241024017333956, 0.09462356567382812]
[-0.09544496536253888, 0.09641647338867188]
[-0.08577661514282653, 0.10406494140625]
[-0.07629032135009339, 0.0971221923828125]
[-0.0478268623352065, 0.09431838989257812]
[-0.03830671310424805, 0.10332107543945312]
[-0.00019807815551331487, 0.10048866271972656]
[0.009371280670166016, 0.09202957153320312]
[0.037951183319087534, 0.09944915771484375]
[0.057119750976568184, 0.10251045227050781]
[0.08579187393188903, 0.09449958801269531]
[0.104851150512701, 0.09634971618652344]
[0.11452894210816567, 0.10385513305664062]
[0.13376741409302184, 0.0916290283203125]
[0.16245059967041442, 0.0879669189453125]
[0.18159322738647887, 0.09444236755371094]
[0.19123716354370401, 0.09489059448242188]
[0.2008272171020522, 0.08945465087890625]
[0.2009456634521527, 0.09929656982421875]
[0.2106427192688045, 0.10228157043457031]
[0.22015810012817383, 0.09668350219726562]
[0.22983121871948242, 0.09756088256835938]
[0.23939723968506144, 0.10782241821289062]
[0.24903564453124716, 0.09898185729980469]
[0.26809244155884215, 0.09150505065917969]
[0.2679498672485394, 0.09648323059082031]
[0.2681266784668068, 0.0951385498046875]
[0.28722457885742614, 0.08792877197265625]
[0.2968781471252555, 0.09874343872070312]
[0.2968621253967356, 0.10144233703613281]
[0.32562007904054013, 0.09456634521484375]
[0.35432491302491087, 0.09542465209960938]
