[0.0, 0.16839981079101562]
[17.91893796920776, 3.5280418395996094]
[18.138996028900145, 3.5352420806884766]
[18.35915489196777, 3.5329246520996094]
[18.560045337677003, 3.5375499725341797]
[18.770329856872557, 3.543872833251953]
[18.971150588989254, 3.5444068908691406]
[19.19074792861938, 3.5424041748046875]
[19.400729179382324, 3.546571731567383]
[19.591963005065914, 3.5426998138427734]
[19.80226001739502, 3.541698455810547]
[20.02186841964722, 3.5419178009033203]
[20.24184646606445, 3.5455894470214844]
[20.461981010437007, 3.545074462890625]
[20.69164476394654, 3.551769256591797]
[20.931073856353763, 3.558359146118164]
[21.170477104187007, 3.5620498657226562]
[21.41951951980591, 3.5658836364746094]
[21.65900688171387, 3.5741519927978516]
[21.908074855804436, 3.577413558959961]
[22.147749233245847, 3.578510284423828]
[22.377690124511716, 3.583698272705078]
[22.60773248672485, 3.5897064208984375]
[22.818618297576897, 3.5880279541015625]
[23.048664283752437, 3.590373992919922]
[23.24027805328369, 3.5933685302734375]
[23.450809288024907, 3.5905075073242188]
[23.661543369293206, 3.5978126525878906]
[23.862555980682373, 3.604402542114258]
[24.063389682769774, 3.6101627349853516]
[24.273942947387695, 3.6131668090820312]
[24.48413324356079, 3.6279773712158203]
[24.69406661987304, 3.639497756958008]
[24.904481601715084, 3.6464309692382812]
[25.123791217803962, 3.650693893432617]
[25.33341665267944, 3.658914566040039]
[25.5335988998413, 3.6633872985839844]
[25.74329195022583, 3.664875030517578]
[25.933511352539064, 3.670816421508789]
[26.123880863189697, 3.6719417572021484]
[26.304948616027836, 3.671407699584961]
[26.495558071136465, 3.675537109375]
[26.64770240783691, 3.6801528930664062]
[26.80948829650879, 3.678607940673828]
[26.981075477600093, 3.6797618865966797]
[27.14319496154784, 3.685283660888672]
[27.295912361145, 3.6849212646484375]
[27.448190021514904, 3.68377685546875]
[27.610338878631588, 3.6868667602539062]
[27.781685829162605, 3.689126968383789]
[27.934196281433096, 3.6899185180664062]
[28.0960611343384, 3.6934375762939453]
[28.248491954803477, 3.6965560913085938]
[28.410655021667488, 3.6937618255615234]
[28.582181358337387, 3.6948204040527344]
[28.744248485565173, 3.6979293823242188]
[28.90650558471679, 3.6946773529052734]
[29.06871271133422, 3.6937332153320312]
[29.24071826934813, 3.696432113647461]
[29.393410205841057, 3.696889877319336]
[29.556119441986063, 3.697357177734375]
[29.718924427032483, 3.7036991119384766]
[29.871999168395995, 3.7078285217285156]
[30.015828418731694, 3.7099266052246094]
[30.168855094909667, 3.7134170532226562]
[30.303022098541256, 3.7174415588378906]
[30.436986160278316, 3.7186336517333984]
[30.561346244812007, 3.7194061279296875]
[30.666450309753408, 3.7231063842773438]
[30.780894660949706, 3.722972869873047]
[30.87660379409791, 3.7221717834472656]
[31.000353622436528, 3.725566864013672]
[31.11511726379394, 3.7281227111816406]
[31.24865312576292, 3.7265586853027344]
[31.382398509979232, 3.7244606018066406]
[31.5255139350891, 3.7270259857177734]
[31.668859672546397, 3.7261104583740234]
[31.821939563751208, 3.7260818481445312]
[31.98449144363402, 3.7299251556396484]
[32.137624835968005, 3.7311267852783203]
[32.30012311935426, 3.729677200317383]
[32.46258430480956, 3.7326526641845703]
[32.61568584442137, 3.7361907958984375]
[32.76874828338624, 3.734722137451172]
[32.91207981109621, 3.7359619140625]
[33.04580888748169, 3.7381935119628906]
[33.17977390289308, 3.7366676330566406]
[33.313861560821515, 3.7350845336914062]
[33.44764451980591, 3.7365150451660156]
[33.58159351348876, 3.7363815307617188]
[33.715717887878405, 3.735189437866211]
[33.84972381591796, 3.7390899658203125]
[33.99328012466432, 3.741168975830078]
[34.127539157867425, 3.742036819458008]
[34.27098302841187, 3.7439823150634766]
[34.41432580947876, 3.750019073486328]
[34.54844703674315, 3.751354217529297]
[34.711228847503655, 3.757009506225586]
[34.8450743675232, 3.7624168395996094]
[34.97885894775391, 3.764066696166992]
[35.112689113616945, 3.7650012969970703]
[35.236860656738294, 3.769845962524414]
